title,price,city,link,bedrooms,bathrooms,sqft,address,price_per_sqft
HOUSE FOR SALE  12 SONOMA  WAY  ETOBICOKE,1197000,Toronto,https://toronto.craigslist.org/tor/reb/d/etobicoke-house-for-sale-12-sonoma-way/7853517182.html,3.0,4.0,2000.0,"12 SONOMA WAY, TORONTO, ON M9V4Y6",598.5
"For Sale: 1,300 Sqft Semi-dettached 4 BR Backsplit",888000,Toronto,https://toronto.craigslist.org/tor/reo/d/downsview-west-for-sale-1300-sqft-semi/7859609729.html,4.0,2.0,1300.0,,683.08
93 SILVERADO TRAIL - NEWLY RENOVATED VAUGHAN HOME MLS N12168055,1299000,Vaughan,https://toronto.craigslist.org/yrk/reb/d/woodbridge-93-silverado-trail-newly/7864197418.html,3.0,4.0,1870.0,"silverado, Vaughan, ON L4H1W4",694.65
Lovely 1 Bdrm 4 Sale @ The Monet w/  $$$$$ in Upgrades - Just Move In!,518888,Toronto,https://toronto.craigslist.org/tor/reb/d/north-york-lovely-bdrm-sale-the-monet/7864179747.html,1.0,1.0,530.0,"60 Byng Avenue #2506, Toronto, ON M2N7K3",979.03
Bright Modern Studio in the Heart of the Entertainment District,429900,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-bright-modern-studio-in-the/7863969641.html,0.0,1.0,420.0,"8 Widmer St, Toronto, ON M5V2E7",1023.57
Kipling subway new 1 bdrm Condo for sale,434000,Toronto,https://toronto.craigslist.org/tor/reo/d/etobicoke-kipling-subway-new-bdrm-condo/7861568913.html,1.0,1.0,530.0,,818.87
Condo For Sale- Stunning views - Amazing value!,479000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-condo-for-sale-stunning-views/7863415379.html,1.0,1.0,455.0,"25 Capreol Crt, Toronto, ON M2J1A6",1052.75
"Update, Very Bright & Spacious Condo W/ Hotel Style Amenities",418000,Toronto,https://toronto.craigslist.org/tor/reb/d/scarborough-update-very-bright-spacious/7854290878.html,1.0,1.0,575.0,,726.96
"Large luxury condo by Lake Ontario, with Double Garage!",1399000,Toronto,https://toronto.craigslist.org/tor/reo/d/etobicoke-large-luxury-condo-by-lake/7862148965.html,3.0,2.0,1330.0,"88 Park Lawn Rd, Etobicoke, ON M8Y0B5",1051.88
"$6,000 CASHBACK OFFER: 204-80 Esther Lorrie Drive, Etobicoke (1+den)",509000,Etobicoke,https://toronto.craigslist.org/tor/reb/d/etobicoke-6000-cashback-offer-esther/7855396941.html,1.0,1.0,619.0,"204-80 Esther Lorrie Dr., Toronto, ON M9W0C6",822.29
two bed one bath condo apartment in,599800,Richmond Hill,https://toronto.craigslist.org/tor/reb/d/thornhill-two-bed-one-bath-condo/7861872248.html,2.0,1.0,762.0,"red maple road, Richmond Hill, ON L4C0T7",787.14
Tannery Lofts 1 Bedroom Hard Loft,649000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-tannery-lofts-bedroom-hard-loft/7861063478.html,1.0,1.0,770.0,"Dundas, Toronto, ON M5A2C5",842.86
Brick and Beam 1 Bedroom 2 Bathroom Hard Loft,715000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-brick-and-beam-bedroom-bathroom/7861061062.html,1.0,2.0,770.0,"Dundas, Toronto, ON M5A2C5",928.57
Toy Factory Lofts 1 Bedroom Plus Den,849900,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-toy-factory-lofts-bedroom-plus/7861055563.html,1.0,1.0,895.0,"Hanna, Toronto, ON M6K1X1",949.61
2 Storey 2 Bedroom Hard Loft In West End,1098000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-storey-bedroom-hard-loft-in/7861039645.html,2.0,2.0,1145.0,"Lansdowne, Toronto, ON M6H4K1",958.95
4 Bedroom Plus Den Loft In Heritage Building,1445000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-bedroom-plus-den-loft-in/7860814006.html,4.0,3.0,2200.0,"Seaton, Toronto, ON M5A2T4",656.82
Massive Luxury Hard Loft at The Brewery Lofts,2450000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-massive-luxury-hard-loft-at-the/7860809447.html,1.0,2.0,2061.0,"Sumach, Toronto, ON M5A4R9",1188.74
CONDO  FOR SALE,585700,Mississauga,https://toronto.craigslist.org/mss/reb/d/mississauga-condo-for-sale/7854426313.html,2.0,2.0,807.0,"4070 CONFEDERATION PKWY, MISSISSAUGA, ON L5B0E9",725.77
HOUSE FOR SALE!,1175000,Toronto,https://toronto.craigslist.org/tor/reb/d/etobicoke-house-for-sale/7860791228.html,3.0,4.0,1954.0,"12 SONOMA WAY, Toronto, ON M9V4Y6",601.33
72 SEVERINO CIRC,679900,Oakville,https://toronto.craigslist.org/oak/reb/d/east-haldimand-county-72-severino-circ/7860784973.html,3.0,4.0,1500.0,"72 SEVERINO CIR, SMITHVILLE, ON L0R2A0",453.27
HOUSE FOR SALE,849000,Toronto,https://toronto.craigslist.org/tor/reb/d/etobicoke-house-for-sale/7856684482.html,3.0,3.0,1518.0,"20 RED BAY, BRUCE, ON M9A4B5",559.29
336 Pineview Gardens,779000,Shelburne,https://toronto.craigslist.org/drh/reb/d/orangeville-north-336-pineview-gardens/7860714104.html,4.0,2.0,1670.0,"336 Pineview gardens, Orangeville North, ON L9V3A3",466.47
2 Nightjar Drive,1679000,Brampton,https://toronto.craigslist.org/bra/reb/d/brampton-nightjar-drive/7859994668.html,7.0,5.0,3525.0,"Nightjar Drive, Brampton, ON L7A5A1",476.31
564 Brock Court,1550000,Milton,https://toronto.craigslist.org/oak/reb/d/milton-564-brock-court/7859985981.html,7.0,5.0,2661.0,"Brock Court, Milton, ON L9T3B2",582.49
1bed + Den Waterfront condo! (Toronto west/Mimico),625000,Etobicoke,https://toronto.craigslist.org/tor/reo/d/etobicoke-1bed-den-waterfront-condo/7859776285.html,1.0,1.0,705.0,"58 Marine Parade Drive, Etobicoke, ON M8V4G1",886.52
NO MONEY DOWN !!!,85000,Toronto,https://toronto.craigslist.org/tor/reo/d/edmonton-no-money-down/7859483507.html,1.0,1.0,657.0,,129.38
57 PRIMROSE AVENUE - GOREGOUS RENOVATED HOME IN ETOBICOKE W12228260,1249000,Toronto,https://toronto.craigslist.org/tor/reb/d/etobicoke-57-primrose-avenue-goregous/7859203937.html,3.0,2.0,1755.0,"57 Primrose Avenue, Etobicoke, ON M8V1P7",711.68
"Condo at 90 Trinity St, Unit 601 - Close to Distillery District",489000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-condo-at-90-trinity-st-unit/7858958450.html,1.0,1.0,538.0,"Trinity, Toronto, ON M5A0E4",908.92
Bungalow with DETACHED OVERSIZED DOUBLE GARAGE on 1/2 Acre,1099000,Whitby,https://toronto.craigslist.org/drh/reb/d/whitby-bungalow-with-detached-oversized/7858469342.html,4.0,3.0,1525.0,"Garrard Road, Whitby, ON L1R3L2",720.66
New Condo on Sheppard Line,799900,Scarborough,https://toronto.craigslist.org/tor/reb/d/scarborough-new-condo-on-sheppard-line/7858202892.html,2.0,2.0,1026.0,"3260 Sheppard ave e, Toronto, ON M1T",779.63
Rare Penthouse at Downtown Markham2br - 975ft² - – 2BR Suit,818080,Markham,https://toronto.craigslist.org/tor/reb/d/markham-inner-southwest-rare-penthouse/7857706452.html,2.0,2.0,800.0,"8110 Birchmount Road, Markham Inner Southwest, ON L6G0E3",1022.6
"Condo at 90 Trinity St, Unit 601 - Close to Distillery District",489000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-condo-at-90-trinity-st-unit/7857675708.html,1.0,1.0,538.0,"Trinity, Toronto, ON M5A0E4",908.92
28 Munford Cres,1349000,Toronto,https://toronto.craigslist.org/tor/reb/d/east-york-28-munford-cres/7857678994.html,4.0,5.0,1742.0,"28 Munford Cres, Toronto, ON M5A0E4",774.4
33 LeMay Rd | 3 Bedroom Semi | Mount Pleasant East,1390000,Toronto,https://toronto.craigslist.org/tor/reb/d/toronto-33-lemay-rd-bedroom-semi-mount/7854476531.html,3.0,1.0,1230.0,"33 LeMay Rd, Toronto, ON M4S2X2",1130.08
Gorgeous Toronto Walk-up Townhome 4 Sale-3 Floors of Perfect Elegance,1198888,North York,https://toronto.craigslist.org/tor/reb/d/north-york-gorgeous-toronto-walk-up/7857624744.html,3.0,3.0,1961.0,"103 Grandview Way, Toronto, ON M2N6V2",611.37
"Spacious 1 Bedroom, w/Balcony, Parking and Locker and Amenities Galore",478888,North York,https://toronto.craigslist.org/tor/reb/d/north-york-spacious-bedroom-balcony/7857614689.html,1.0,1.0,521.0,"3091 Dufferin St., Toronto, ON M6A0C4",919.17
"Dreams are now a reality! Condos in Toronto. 2 Beds, 2 Baths",799999,Toronto,https://toronto.craigslist.org/tor/reb/d/west-toronto-dreams-are-now-reality/7857306651.html,2.0,2.0,900.0,,888.89
Penthouse Living with Stunning CN Tower Views & Unbeatable Location!,669000,Toronto,https://toronto.craigslist.org/tor/reb/d/scarborough-penthouse-living-with/7857237287.html,2.0,2.0,888.0,"60 Brian Harrison Way, Toronto, ON M1P5J5",753.38
